QoutCalcS10 function,,,,,,,,,,,,,,,,,,,,,,,,
x,-1.3,-1.2,-1.1,-1,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
y,0,32,113,64,94,148,311,238,175,328,288,450,765,957,1323,2274,3188,2832,4469,5901,7406,6602,6356,8116
