0	1	2	3	4	5	6	7	8	9	10	11	12	x	CL	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
22	0	0	0	0	0	0	0	0	0	193.6904615	123.31432	0	x	43	0	0	0	0	0	0	104.2127949	0	0	243.222	0	0
22.999	0	0	0	0	0	0	0	0	0	193.6904615	123.31432	0	x	44	0	0	0	0	0	0	101.684	0	0	247.164	123.136	0
23	0	0	0	0	0	0	0	0	0	193.4761538	122.09528	0	x	45	0	0	0	0	0	0	110.0982222	0	0	242.6447857	123.4950714	0
23.999	0	0	0	0	0	0	0	0	0	193.4761538	122.09528	0	x	46	0	0	0	0	0	0	118.5124444	0	0	238.1255714	123.8541429	0
24	0	0	0	0	0	0	0	0	0	0	0	0	x	47	0	0	0	0	0	0	0	0	0	233.6063571	124.2132143	0
24.999	0	0	0	0	0	0	0	0	0	0	0	0	x	48	0	0	0	0	0	0	135.3408889	0	0	229.0871429	124.5722857	0
25	0	0	0	0	0	0	0	0	0	0	0	0	x	49	0	0	0	0	0	0	143.7551111	0	0	224.5679286	124.9313571	0
25.999	0	0	0	0	0	0	0	0	0	0	0	0	x	50	0	0	0	0	0	0	152.1693333	0	0	220.0487143	125.2904286	0
26	0	0	0	0	0	0	0	0	0	0	118.43816	0	x	51	0	0	0	0	0	0	160.5835556	0	0	215.5295	125.6495	0
26.999	0	0	0	0	0	0	0	0	0	0	118.43816	0	x	52	0	55.446	101.947	0	0	0	168.9977778	0	0	211.0102857	126.0085714	0
27	0	0	0	0	0	0	0	0	0	0	117.21912	0	x	53	0	0	0	0	0	0	177.412	0	0	206.4910714	126.3676429	0
27.999	0	0	0	0	0	0	0	0	0	0	117.21912	0	x	54	0	0	0	0	0	0	174.917275	0	0	201.9718571	126.7267143	0
28	0	0	0	0	0	0	0	0	0	0	116.00008	0	x	55	0	0	0	0	0	0	172.42255	0	0	197.4526429	127.0857857	0
28.999	0	0	0	0	0	0	0	0	0	0	116.00008	0	x	56	0	0	0	0	0	0	169.927825	0	0	192.9334286	127.4448571	0
29	0	0	0	0	0	0	0	0	0	0	114.78104	0	x	57	0	0	0	0	0	0	167.4331	0	0	188.4142143	127.8039286	0
29.999	0	0	0	0	0	0	0	0	0	0	114.78104	0	x	58	0	0	0	0	0	0	164.938375	0	0	183.895	128.163	0
30	0	0	101.947	0	0	0	137.0871282	0	0	191.976	113.562	0	x	59	0	0	0	0	0	0	162.44365	0	0	183.4111429	128.5220714	0
30.999	0	0	101.947	0	0	0	137.0871282	0	0	191.976	113.562	0	x	60	0	0	0	0	0	0	159.948925	0	0	182.9272857	128.8811429	0
