0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
21.999	0	0	0	0	0	0	0	0	0	85.92707692	62.21763636	0	x	42	0	0	0	0	0	0	0	0	0	102.5051429	53.96415909	0
22	0	0	0	0	0	0	0	0	0	85.28384615	61.82461364	0	x	43	0	0	0	0	0	0	78.15838636	0	0	104.3690714	0	0
22.999	0	0	0	0	0	0	0	0	0	85.28384615	61.82461364	0	x	44	0	0	0	0	0	0	77.36473864	0	0	106.233	53.17811364	0
23	0	0	0	0	0	0	0	0	0	84.64061538	61.43159091	0	x	45	0	0	0	0	0	0	76.57109091	0	0	103.0184286	52.78509091	0
23.999	0	0	0	0	0	0	0	0	0	84.64061538	61.43159091	0	x	46	0	0	0	0	0	0	75.77744318	0	0	99.80385714	52.39206818	0
24	0	0	0	0	0	0	0	0	0	0	0	0	x	47	0	0	0	0	0	0	0	0	0	96.58928571	51.99904545	0
24.999	0	0	0	0	0	0	0	0	0	0	0	0	x	48	0	0	0	0	0	0	74.19014773	0	0	93.37471429	51.60602273	0
25	0	0	0	0	0	0	0	0	0	0	0	0	x	49	0	0	0	0	0	0	73.3965	0	0	90.16014286	51.213	0
25.999	0	0	0	0	0	0	0	0	0	0	0	0	x	50	0	0	0	0	0	0	72.60285227	0	0	86.94557143	50.81997727	0
26	0	0	0	0	0	0	0	0	0	0	60.25252273	0	x	51	0	0	0	0	0	0	71.80920455	0	0	83.731	50.42695455	0
26.999	0	0	0	0	0	0	0	0	0	0	60.25252273	0	x	52	0	83.02	80.204	0	0	0	71.01555682	0	0	80.51642857	50.03393182	0
27	0	0	0	0	0	0	0	0	0	0	59.8595	0	x	53	0	0	0	0	0	0	70.22190909	0	0	77.30185714	49.64090909	0
27.999	0	0	0	0	0	0	0	0	0	0	59.8595	0	x	54	0	0	0	0	0	0	69.42826136	0	0	74.08728571	49.24788636	0
28	0	0	0	0	0	0	0	0	0	0	59.46647727	0	x	55	0	0	0	0	0	0	68.63461364	0	0	70.87271429	48.85486364	0
28.999	0	0	0	0	0	0	0	0	0	0	59.46647727	0	x	56	0	0	0	0	0	0	67.84096591	0	0	67.65814286	48.46184091	0
29	0	0	0	0	0	0	0	0	0	0	59.07345455	0	x	57	0	0	0	0	0	0	67.04731818	0	0	64.44357143	48.06881818	0
29.999	0	0	0	0	0	0	0	0	0	0	59.07345455	0	x	58	0	0	0	0	0	0	66.25367045	0	0	61.229	47.67579545	0
30	0	0	80.204	0	0	0	88.47580682	0	0	80.138	58.68043182	0	x	59	0	0	0	0	0	0	65.46002273	0	0	60.9705	47.28277273	0
30.999	0	0	80.204	0	0	0	88.47580682	0	0	80.138	58.68043182	0	x	60	0	0	0	0	0	0	64.666375	0	0	60.712	46.88975	0
31	0	0	0	0	0	0	87.68215909	0	0	82.00192857	58.28740909	0	x	61	0	0	0	0	0	0	63.87272727	0	0	60.4535	46.49672727	0
31.999	0	0	0	0	0	0	87.68215909	0	0	82.00192857	58.28740909	0	x	62	0	0	0	0	0	0	63.07907955	0	0	60.195	46.10370455	0
32	0	0	0	0	0	0	86.88851136	0	0	0	57.89438636	0	x	63	0	0	0	0	0	0	62.28543182	0	0	59.9365	45.71068182	0
32.999	0	0	0	0	0	0	86.88851136	0	0	0	57.89438636	0	x	64	0	0	0	0	0	0	61.49178409	0	0	59.678	45.31765909	0
33	0	0	0	0	0	0	86.09486364	0	0	0	57.50136364	0	x	65	0	0	0	0	0	0	60.69813636	0	0	59.4195	44.92463636	0
33.999	0	0	0	0	0	0	86.09486364	0	0	0	57.50136364	0	x	66	0	0	0	0	0	0	59.90448864	0	0	59.161	44.53161364	0
