0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C				
14	0	0	0	0	204386.9211	255495.8842	0	0	0	2556453.7	0	0	482158.8756	2969335.342	0	0	0	0	0	x	******	******	1/27/1995	27	0	0	0	0	0	0	0	0	0	0	0	0	0	1430537.187	0	0	0	0	0				
14.999	0	0	0	0	204386.9211	255495.8842	0	0	0	2556453.7	0	0	482158.8756	2969335.342	0	0	0	0	0	x	******	******	1/28/1995	28	0	0	0	0	0	0	0	0	0	0	0	0	0	1603583.476	0	0	0	0	0				
15	0	0	0	0	0	0	0	0	0	2135231.681	0	0	365447.4358	3658609.071	0	0	0	0	0	x	******	******	1/29/1995	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1441155.325	0	0	0	0	0				
15.999	0	0	0	0	0	0	0	0	0	2135231.681	0	0	365447.4358	3658609.071	0	0	0	0	0	x	******	******	1/30/1995	30	0	0	0	0	0	79489.23947	0	0	0	1475510.139	0	0	105545.269	2497366.454	0	0	0	0	0				
16	0	0	0	0	0	0	0	0	0	2059867.368	0	0	395097.4849	3288173.067	0	0	0	0	0	x	******	******	1/31/1995	31	0	0	0	0	0	0	0	0	0	1247653.219	0	0	162376.7724	3252477.53	0	0	0	0	0				
16.999	0	0	0	0	0	0	0	0	0	2059867.368	0	0	395097.4849	3288173.067	0	0	0	0	0	x	******	******	2/1/1995	32	0	0	0	0	0	0	0	0	0	567713.1759	0	0	0	1615669.559	0	0	0	0	0
17	0	0	0	0	190759.4953	158978.4789	0	0	0	1468654.834	0	0	322199.3199	1912096.652	0	0	0	0	0	x	******	******	2/2/1995	33	0	0	0	0	0	0	0	0	0	1192548.998	0	0	0	965320.8473	0	0	0	0	0
17.999	0	0	0	0	190759.4953	158978.4789	0	0	0	1468654.834	0	0	322199.3199	1912096.652	0	0	0	0	0	x	******	******	2/3/1995	34	0	0	0	0	0	0	0	0	0	1808963.706	0	0	155991.2102	1254652.871	0	0	0	0	0
18	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	323385.909	1080676.884	0	0	0	0	0	x	******	******	2/4/1995	35	0	0	0	0	0	0	0	0	0	0	0	0	155056.6184	0	0	0	0	0	0
18.999	0	0	0	0	204386.9211	170330.5895	0	0	0	0	0	0	323385.909	1080676.884	0	0	0	0	0	x	******	******	2/5/1995	36	0	0	0	0	0	0	0	0	0	0	0	0	78390.72705	0	0	0	0	0	0
19	0	0	0	0	190759.4953	158978.4789	0	0	0	0	0	0	257108.1775	1173426.563	0	0	0	0	0	x	******	******	2/6/1995	37	0	0	0	0	0	0	0	0	0	1971736.824	0	0	49007.35475	1387991.239	0	0	0	0	0
19.999	0	0	0	0	190759.4953	158978.4789	0	0	0	0	0	0	257108.1775	1173426.563	0	0	0	0	0	x	******	******	2/7/1995	38	0	0	0	0	0	0	0	0	0	1055141.975	0	0	32644.6575	728370.0057	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	1893925.935	0	0	164184.7917	1102622.667	0	0	0	0	0	x	******	******	2/8/1995	39	0	0	0	0	0	0	0	0	0	0	0	0	82569.47809	0	0	0	0	0	0
20.999	0	0	0	0	0	0	0	0	0	1893925.935	0	0	164184.7917	1102622.667	0	0	0	0	0	x	******	******	2/9/1995	40	0	0	0	0	0	0	0	0	0	1206367.256	0	0	27335.58857	1305908.629	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	164879.6192	804678.6969	0	0	0	0	0	x	******	******	2/10/1995	41	0	0	0	0	0	0	0	0	0	1446679.693	0	0	43248.11592	1130733.82	0	0	0	0	0
21.999	0	0	0	0	0	0	0	0	0	0	0	0	164879.6192	804678.6969	0	0	0	0	0	x	******	******	2/11/1995	42	0	0	0	0	0	0	0	0	0	0	0	0	130289.9341	953601.7504	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	164979.9288	821927.0545	0	0	0	0	0	x	******	******	2/12/1995	43	0	0	0	0	0	0	0	0	0	1874485.446	0	0	265928.0823	0	0	0	0	0	0
22.999	0	0	0	0	0	0	0	0	0	0	0	0	164979.9288	821927.0545	0	0	0	0	0	x	******	******	2/13/1995	44	0	0	0	0	0	0	0	0	0	2107162.12	0	0	334177.7538	1448935.435	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0	106763.6637	916022.35	0	0	0	0	0	x	******	******	2/14/1995	45	0	0	0	0	0	0	0	0	0	2362543.015	0	0	329066.8575	1592109.036	0	0	0	0	0
23.999	0	0	0	0	0	0	0	0	0	0	0	0	106763.6637	916022.35	0	0	0	0	0	x	******	******	2/15/1995	46	0	0	0	0	0	0	0	0	0	1367929.319	0	0	295142.6409	1132006.039	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	2/16/1995	47	0	0	0	0	0	0	0	0	0	0	0	0	192508.7968	613258.6262	0	0	0	0	0
24.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	2/17/1995	48	0	0	0	0	0	0	0	0	0	1948467.444	0	0	127833.5723	1260671.447	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	2/18/1995	49	0	0	0	0	0	0	0	0	0	1924410.267	0	0	162110.0956	1280439.778	0	0	0	0	0
25.999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x	******	******	2/19/1995	50	0	0	0	0	0	0	0	0	0	3974400.809	0	0	159988.9147	2587669.557	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	981541.6431	0	0	0	0	0	x	******	******	2/20/1995	51	0	0	0	0	0	0	0	0	0	2233539.98	0	0	159724.6845	3934362.601	0	0	0	0	0
26.999	0	0	0	0	0	0	0	0	0	0	0	0	0	981541.6431	0	0	0	0	0	x	******	******	2/21/1995	52	0	0	0	0	74938.60896	158978.4789	0	0	0	2154615.899	0	0	98085.6602	4345509.621	0	0	0	0	0
