0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	x	******	******	DATE	TIME	S39_S	G94A_C	G94B_C	G94C_C	ACME2	ACME1	S362_P	G300_S	S5AS_S	S5A_P	G301_S	G310_P	G251_P	S6	G338_C	S10E_C	S10D_C	S10C_C	S10A_C
12.999	1422072.036	0	0	0	0	0	0	0	926041.0769	0	0	0	0	0	0	861781.7702	0	985969.9449	0	x	******	******	1/24/1995	24	1523335.798	0	0	0	0	0	0	0	1153540.797	0	0	0	0	0	0	822612.0957	883213.7719	878320.6209	0
13	1228988.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871886.1272	755991.8436	981076.7938	0	x	******	******	1/25/1995	25	1640771.424	0	0	0	0	0	0	0	1202768.344	0	0	0	0	0	0	370607.2636	144347.9572	0	0
13.999	1228988.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871886.1272	755991.8436	981076.7938	0	x	******	******	1/26/1995	26	1527103.524	0	0	0	0	0	0	0	1233602.535	0	0	0	0	0	0	0	146794.5327	0	0
14	364417.4275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896890.1292	1734622.062	954164.4628	0	x	******	******	1/27/1995	27	1533538.018	0	0	0	0	0	0	0	1252825.279	0	0	0	0	0	0	0	146794.5327	0	0
14.999	364417.4275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896890.1292	1734622.062	954164.4628	0	x	******	******	1/28/1995	28	1625406.929	0	0	0	0	0	0	0	1255773.403	0	0	0	0	0	0	0	0	0	0
15	853487.8791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939509.4752	1773767.271	973737.0671	0	x	******	******	1/29/1995	29	1669567.618	0	0	0	0	0	0	0	1247366.969	0	0	0	0	0	0	0	0	0	0
15.999	853487.8791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939509.4752	1773767.271	973737.0671	0	x	******	******	1/30/1995	30	752566.6378	0	0	0	0	0	0	0	1226108.674	0	0	0	0	0	0	0	0	0	0
16	1243178.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947240.654	1781106.997	981076.7938	0	x	******	******	1/31/1995	31	1270824.736	0	0	0	0	0	0	0	1136329.138	0	0	0	0	0	0	0	0	0	0
16.999	1243178.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947240.654	1781106.997	981076.7938	0	x	******	******	2/1/1995	32	1793927.053	0	0	0	0	0	0	0	1159410.132	0	0	0	0	0	0	0	0	0	0
17	1426426.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935913.0092	1783553.573	985969.9449	0	x	******	******	2/2/1995	33	1866883.936	0	0	0	0	0	0	0	1231985.349	0	0	0	0	0	0	0	0	0	0
